Time,Currency,Event,Forecast,Actual,Previous
23/01/2020 23:45,NZD,CPI q/q,0.4%,0.5%,0.7%
24/01/2020 00:00,AUD,Flash Manufacturing PMI,unknown,49.1,49.2
24/01/2020 00:00,AUD,Flash Services PMI,unknown,48.9,49.8
24/01/2020 01:30,JPY,National Core CPI y/y,0.7%,0.7%,0.5%
24/01/2020 01:50,JPY,Monetary Policy Meeting Minutes,unknown,unknown,unknown
24/01/2020 02:30,JPY,Flash Manufacturing PMI,48.9,49.3,48.4
24/01/2020 04:00,NZD,Credit Card Spending y/y,unknown,3.4%,4.4%
24/01/2020 10:15,EUR,French Flash Services PMI,52.2,51.7,52.4
24/01/2020 10:15,EUR,French Flash Manufacturing PMI,50.6,51.0,50.4
24/01/2020 10:30,EUR,German Flash Manufacturing PMI,44.5,45.2,43.7
24/01/2020 10:30,EUR,German Flash Services PMI,53.0,54.2,52.9
24/01/2020 10:30,GBP,MPC Member Haskel Speaks,unknown,unknown,unknown
24/01/2020 11:00,EUR,Flash Manufacturing PMI,46.9,47.8,46.3
24/01/2020 11:00,EUR,Flash Services PMI,52.9,52.2,52.8
24/01/2020 00:00,All,WEF Annual Meetings,unknown,unknown,unknown
24/01/2020 11:30,EUR,ECB President Lagarde Speaks,unknown,unknown,unknown
24/01/2020 11:30,GBP,Flash Manufacturing PMI,48.8,49.8,47.5
24/01/2020 11:30,GBP,Flash Services PMI,51.1,52.9,50.0
24/01/2020 11:30,JPY,BOJ Gov Kuroda Speaks,unknown,unknown,unknown
24/01/2020 11:30,USD,Treasury Sec Mnuchin Speaks,unknown,unknown,unknown
24/01/2020 15:30,CAD,Core Retail Sales m/m,0.5%,0.2%,-0.4%
24/01/2020 15:30,CAD,Retail Sales m/m,0.6%,0.9%,-1.1%
24/01/2020 15:58,EUR,Belgian NBB Business Climate,-3.0,-2.0,-3.4
24/01/2020 16:45,USD,Flash Manufacturing PMI,52.4,51.7,52.4
24/01/2020 16:45,USD,Flash Services PMI,52.9,53.2,52.8
26/01/2020 00:00,AUD,Bank Holiday,unknown,unknown,unknown
26/01/2020 00:00,CNY,Bank Holiday,unknown,unknown,unknown
27/01/2020 11:00,EUR,German ifo Business Climate,97.1,95.9,96.3
27/01/2020 11:30,GBP,High Street Lending,44.0K,46.8K,44.1K
27/01/2020 16:00,CNY,CB Leading Index m/m,unknown,1.4%,1.5%
27/01/2020 16:30,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
27/01/2020 17:00,USD,New Home Sales,730K,694K,697K
28/01/2020 01:50,JPY,SPPI y/y,2.1%,2.1%,2.1%
27/01/2020 00:00,CNY,Bank Holiday,unknown,unknown,unknown
28/01/2020 02:30,AUD,NAB Business Confidence,unknown,-2,unknown
28/01/2020 19:00,JPY,BOJ Core CPI y/y,0.2%,0.3%,0.2%
28/01/2020 09:00,CHF,Trade Balance,3.14B,1.96B,3.95B
28/01/2020 10:00,EUR,Spanish Unemployment Rate,14.0%,13.8%,13.9%
28/01/2020 12:34,GBP,10-y Bond Auction,unknown,0.50|2.3,0.79|2.5
28/01/2020 13:00,GBP,CBI Realized Sales,unknown,unknown,unknown
28/01/2020 15:30,USD,Core Durable Goods Orders m/m,0.4%,-0.1%,-0.1%
28/01/2020 15:30,USD,Durable Goods Orders m/m,1.2%,2.4%,-2.1%
28/01/2020 16:00,USD,S&P/CS Composite-20 HPI y/y,2.5%,2.6%,2.2%
28/01/2020 16:30,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
28/01/2020 16:59,USD,Richmond Manufacturing Index,-3,20,-5
28/01/2020 17:00,USD,CB Consumer Confidence,128.2,131.6,128.2
29/01/2020 01:38,AUD,MI Leading Index m/m,unknown,0.1%,0.0%
29/01/2020 01:50,JPY,BOJ Summary of Opinions,unknown,unknown,unknown
29/01/2020 02:01,GBP,BRC Shop Price Index y/y,unknown,-0.3%,-0.4%
28/01/2020 00:00,CNY,Bank Holiday,unknown,unknown,unknown
29/01/2020 02:30,AUD,CPI q/q,0.6%,0.7%,0.5%
29/01/2020 02:30,AUD,Trimmed Mean CPI q/q,0.4%,0.4%,0.4%
29/01/2020 19:00,JPY,Consumer Confidence,39.6,39.1,39.1
29/01/2020 08:59,GBP,Nationwide HPI m/m,0.3%,0.5%,0.1%
29/01/2020 09:00,EUR,German GfK Consumer Climate,9.6,9.9,9.7
29/01/2020 09:00,EUR,German Import Prices m/m,0.2%,0.2%,0.5%
29/01/2020 11:00,CHF,UBS Economic Expectations,unknown,8.3,12.5
29/01/2020 11:00,EUR,M3 Money Supply y/y,5.5%,5.0%,5.6%
29/01/2020 11:00,EUR,Private Loans y/y,3.5%,3.7%,3.5%
29/01/2020 15:30,USD,Goods Trade Balance,-64.5B,-68.3B,-63.0B
29/01/2020 15:30,USD,Prelim Wholesale Inventories m/m,0.1%,-0.1%,-0.1%
29/01/2020 17:00,USD,Pending Home Sales m/m,0.5%,-4.9%,1.2%
29/01/2020 17:30,USD,Crude Oil Inventories,0.7M,3.5M,-0.4M
29/01/2020 21:00,USD,Federal Funds Rate,1.75%,1.75%,1.75%
29/01/2020 21:00,USD,FOMC Statement,unknown,unknown,unknown
29/01/2020 21:30,USD,FOMC Press Conference,unknown,unknown,unknown
29/01/2020 23:45,NZD,Trade Balance,100M,547M,-791M
29/01/2020 00:00,CNY,Bank Holiday,unknown,unknown,unknown
30/01/2020 02:30,AUD,Import Prices q/q,0.4%,0.7%,0.4%
30/01/2020 00:00,EUR,German Prelim CPI m/m,-0.6%,-0.6%,0.5%
30/01/2020 10:00,CHF,KOF Economic Barometer,97.0,100.1,96.2
30/01/2020 10:55,EUR,German Unemployment Change,5K,-2K,8K
30/01/2020 11:00,EUR,Italian Monthly Unemployment Rate,9.7%,9.8%,9.8%
30/01/2020 12:00,EUR,Unemployment Rate,7.5%,7.4%,7.5%
30/01/2020 12:17,EUR,Italian 10-y Bond Auction,unknown,0.94|1.2,1.35|1.3
30/01/2020 14:00,GBP,BOE Monetary Policy Report,unknown,unknown,unknown
30/01/2020 14:00,GBP,Monetary Policy Summary,unknown,unknown,unknown
30/01/2020 14:00,GBP,MPC Official Bank Rate Votes,0-3-6,0-2-7,0-2-7
30/01/2020 14:00,GBP,Official Bank Rate,0.75%,0.75%,0.75%
30/01/2020 14:00,GBP,Asset Purchase Facility,435B,435B,435B
30/01/2020 14:00,GBP,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
30/01/2020 14:30,GBP,BOE Gov Carney Speaks,unknown,unknown,unknown
30/01/2020 15:30,USD,Advance GDP q/q,2.1%,2.1%,2.1%
30/01/2020 15:30,USD,Advance GDP Price Index q/q,1.8%,1.4%,1.8%
30/01/2020 15:30,USD,Unemployment Claims,215K,216K,223K
30/01/2020 17:30,USD,Natural Gas Storage,-197B,-201B,-92B
30/01/2020 20:00,EUR,German Buba President Weidmann Speaks,unknown,unknown,unknown
30/01/2020 22:15,CAD,Gov Council Member Beaudry Speaks,unknown,unknown,unknown
31/01/2020 01:30,JPY,Tokyo Core CPI y/y,0.8%,0.7%,0.8%
31/01/2020 01:30,JPY,Unemployment Rate,2.3%,2.2%,2.2%
31/01/2020 01:50,JPY,Prelim Industrial Production m/m,0.7%,1.3%,-1.0%
31/01/2020 01:50,JPY,Retail Sales y/y,-1.7%,-2.6%,-2.1%
31/01/2020 02:01,GBP,GfK Consumer Confidence,-9,-9,-11
30/01/2020 00:00,CNY,Bank Holiday,unknown,unknown,unknown
31/01/2020 02:30,AUD,PPI q/q,0.3%,0.3%,0.4%
31/01/2020 02:30,AUD,Private Sector Credit m/m,0.2%,0.2%,0.2%
31/01/2020 03:00,CNY,Manufacturing PMI,50.1,50.0,50.2
31/01/2020 03:00,CNY,Non-Manufacturing PMI,53.1,54.1,53.5
31/01/2020 19:02,JPY,Housing Starts y/y,-11.7%,-7.9%,-12.7%
31/01/2020 08:30,EUR,French Flash GDP q/q,0.2%,-0.1%,0.3%
31/01/2020 09:00,EUR,German Retail Sales m/m,-0.5%,-3.3%,1.6%
31/01/2020 09:30,CHF,Retail Sales y/y,0.4%,0.1%,0.5%
31/01/2020 09:45,EUR,French Consumer Spending m/m,-0.1%,-0.3%,0.7%
31/01/2020 09:45,EUR,French Prelim CPI m/m,-0.5%,-0.4%,0.4%
31/01/2020 10:00,EUR,Spanish Flash GDP q/q,0.4%,0.5%,0.4%
31/01/2020 10:00,EUR,Spanish Flash CPI y/y,1.0%,1.1%,0.8%
31/01/2020 11:00,EUR,Italian Prelim GDP q/q,0.1%,-0.3%,0.1%
31/01/2020 11:30,GBP,M4 Money Supply m/m,0.6%,0.1%,0.8%
31/01/2020 11:30,GBP,Mortgage Approvals,66K,67K,66K
31/01/2020 11:30,GBP,Net Lending to Individuals m/m,4.2B,5.8B,4.9B
31/01/2020 12:00,EUR,CPI Flash Estimate y/y,1.4%,1.4%,1.3%
31/01/2020 12:00,EUR,Core CPI Flash Estimate y/y,1.2%,1.1%,1.3%
31/01/2020 12:00,EUR,Prelim Flash GDP q/q,0.2%,0.1%,0.2%
31/01/2020 15:30,CAD,GDP m/m,0.0%,0.1%,-0.1%
31/01/2020 15:30,CAD,RMPI m/m,0.7%,2.8%,1.4%
31/01/2020 15:30,CAD,IPPI m/m,0.0%,0.1%,-0.1%
31/01/2020 15:30,USD,Core PCE Price Index m/m,0.1%,0.2%,0.1%
31/01/2020 15:30,USD,Employment Cost Index q/q,0.7%,0.7%,0.7%
31/01/2020 15:30,USD,Personal Spending m/m,0.3%,0.3%,0.4%
31/01/2020 15:30,USD,Personal Income m/m,0.3%,0.2%,0.4%
31/01/2020 16:45,USD,Chicago PMI,48.9,42.9,48.9
31/01/2020 17:00,USD,Revised UoM Consumer Sentiment,99.1,99.8,99.1
31/01/2020 17:00,USD,Revised UoM Inflation Expectations,unknown,2.5%,2.5%
02/02/2020 23:30,AUD,AIG Manufacturing Index,unknown,45.4,48.3
03/02/2020 02:00,AUD,MI Inflation Gauge m/m,unknown,0.3%,0.3%
03/02/2020 02:30,AUD,Building Approvals m/m,-5.0%,-0.2%,10.9%
03/02/2020 02:30,AUD,ANZ Job Advertisements m/m,unknown,3.8%,-5.7%
03/02/2020 02:30,JPY,Final Manufacturing PMI,49.3,48.8,49.3
03/02/2020 03:45,CNY,Caixin Manufacturing PMI,51.0,51.1,51.5
03/02/2020 19:30,AUD,Commodity Prices y/y,unknown,-3.6%,-1.9%
03/02/2020 10:15,EUR,Spanish Manufacturing PMI,48.3,48.5,47.4
03/02/2020 10:30,CHF,Manufacturing PMI,50.3,47.8,50.2
03/02/2020 10:45,EUR,Italian Manufacturing PMI,46.9,48.9,46.2
03/02/2020 10:50,EUR,French Final Manufacturing PMI,51.0,51.1,51.0
03/02/2020 10:55,EUR,German Final Manufacturing PMI,45.2,45.3,45.2
03/02/2020 11:00,EUR,Final Manufacturing PMI,47.8,47.9,47.8
03/02/2020 11:30,GBP,Final Manufacturing PMI,49.8,50.0,49.8
03/02/2020 16:30,CAD,Manufacturing PMI,unknown,50.6,50.4
03/02/2020 16:45,USD,Final Manufacturing PMI,51.7,51.9,51.7
03/02/2020 17:00,USD,ISM Manufacturing PMI,48.5,50.9,47.2
03/02/2020 17:00,USD,Construction Spending m/m,0.5%,-0.2%,0.7%
03/02/2020 17:00,USD,ISM Manufacturing Prices,52.0,53.3,51.7
03/02/2020 00:00,USD,Wards Total Vehicle Sales,16.8M,16.8M,16.7M
03/02/2020 20:15,EUR,German Buba President Weidmann Speaks,unknown,unknown,unknown
03/02/2020 21:00,USD,Loan Officer Survey,unknown,unknown,unknown
03/02/2020 23:45,NZD,Building Consents m/m,unknown,9.9%,-8.4%
04/02/2020 01:50,JPY,Monetary Base y/y,3.2%,2.9%,3.2%
04/02/2020 05:30,AUD,Cash Rate,0.75%,0.75%,0.75%
04/02/2020 05:30,AUD,RBA Rate Statement,unknown,unknown,unknown
04/02/2020 05:35,JPY,10-y Bond Auction,unknown,-0.05|3.6,-0.01|3.7
04/02/2020 09:45,EUR,French Gov Budget Balance,unknown,-92.8B,-113.9B
04/02/2020 10:00,EUR,Spanish Unemployment Change,44.2K,90.2K,-34.6K
04/02/2020 11:30,GBP,Construction PMI,48.1,48.4,44.4
04/02/2020 12:00,EUR,PPI m/m,0.1%,0.0%,0.1%
04/02/2020 12:00,EUR,Italian Prelim CPI m/m,-0.2%,0.2%,0.2%
04/02/2020 16:12,NZD,GDT Price Index,unknown,-4.7%,1.7%
04/02/2020 17:00,USD,Factory Orders m/m,0.7%,1.8%,-1.2%
04/02/2020 17:00,USD,RCM/TIPP Economic Optimism,58.3,59.8,57.4
04/02/2020 23:30,AUD,AIG Construction Index,unknown,41.3,38.9
04/02/2020 23:45,NZD,Employment Change q/q,0.3%,0.0%,0.2%
04/02/2020 23:45,NZD,Unemployment Rate,4.2%,4.0%,4.1%
04/02/2020 23:45,NZD,Labor Cost Index q/q,0.5%,0.6%,0.6%
05/02/2020 02:00,NZD,ANZ Commodity Prices m/m,unknown,-0.9%,-3.4%
05/02/2020 03:30,AUD,RBA Gov Lowe Speaks,unknown,unknown,unknown
05/02/2020 03:45,CNY,Caixin Services PMI,52.0,51.8,52.5
05/02/2020 04:00,USD,President Trump Speaks,unknown,unknown,unknown
05/02/2020 08:45,CHF,SECO Consumer Climate,-8,-9,-10
05/02/2020 10:15,EUR,Spanish Services PMI,54.0,52.3,54.9
05/02/2020 10:45,EUR,Italian Services PMI,50.3,51.4,51.1
05/02/2020 10:50,EUR,French Final Services PMI,51.7,51.0,51.7
05/02/2020 10:55,EUR,German Final Services PMI,54.2,54.2,54.2
05/02/2020 11:00,EUR,Final Services PMI,52.2,52.5,52.2
05/02/2020 11:30,GBP,Final Services PMI,52.9,53.9,52.9
05/02/2020 12:00,EUR,Retail Sales m/m,-0.5%,-1.6%,0.8%
05/02/2020 14:15,EUR,ECB President Lagarde Speaks,unknown,unknown,unknown
05/02/2020 15:15,USD,ADP Non-Farm Employment Change,157K,291K,199K
05/02/2020 15:30,CAD,Trade Balance,-0.6B,-0.4B,-1.2B
05/02/2020 15:30,USD,Trade Balance,-48.2B,-48.9B,-43.7B
05/02/2020 16:45,USD,Final Services PMI,53.2,53.4,53.2
05/02/2020 17:00,USD,ISM Services PMI,55.1,55.5,55.0
05/02/2020 17:30,USD,Crude Oil Inventories,2.9M,3.4M,3.5M
05/02/2020 07:15,CAD,Gov Council Member Wilkins Speaks,unknown,unknown,unknown
05/02/2020 00:00,NZD,Bank Holiday,unknown,unknown,unknown
05/02/2020 23:10,USD,FOMC Member Brainard Speaks,unknown,unknown,unknown
06/02/2020 02:30,AUD,Goods Trade Balance,5.65B,5.22B,5.52B
06/02/2020 02:30,AUD,Retail Sales m/m,-0.2%,-0.5%,1.0%
06/02/2020 02:30,AUD,NAB Quarterly Business Confidence,unknown,-1,-1
06/02/2020 05:35,JPY,30-y Bond Auction,unknown,0.43|3.7,0.43|3.7
06/02/2020 09:00,EUR,German Factory Orders m/m,0.6%,-2.1%,-0.8%
06/02/2020 10:00,EUR,ECB President Lagarde Speaks,unknown,unknown,unknown
06/02/2020 11:00,EUR,ECB Economic Bulletin,unknown,unknown,unknown
06/02/2020 11:49,EUR,Spanish 10-y Bond Auction,unknown,0.35|1.6,0.44|1.5
06/02/2020 12:07,EUR,French 10-y Bond Auction,unknown,-0.11|2.2,0.04|1.7
06/02/2020 14:30,USD,Challenger Job Cuts y/y,unknown,27.8%,-25.2%
06/02/2020 15:30,USD,Prelim Nonfarm Productivity q/q,1.6%,1.4%,-0.2%
06/02/2020 15:30,USD,Prelim Unit Labor Costs q/q,1.3%,1.4%,2.5%
06/02/2020 15:30,USD,Unemployment Claims,215K,202K,217K
06/02/2020 16:15,USD,FOMC Member Kaplan Speaks,unknown,unknown,unknown
06/02/2020 17:30,USD,Natural Gas Storage,-123B,-137B,-201B
07/02/2020 00:21,AUD,AIG Services Index,unknown,47.4,48.7
07/02/2020 00:30,AUD,RBA Gov Lowe Speaks,unknown,unknown,unknown
07/02/2020 01:30,JPY,Average Cash Earnings y/y,-0.1%,0.0%,0.1%
07/02/2020 01:30,JPY,Household Spending y/y,-1.7%,-4.8%,-2.0%
07/02/2020 02:15,USD,FOMC Member Quarles Speaks,unknown,unknown,unknown
07/02/2020 02:30,AUD,RBA Monetary Policy Statement,unknown,unknown,unknown
07/02/2020 04:00,NZD,Inflation Expectations q/q,unknown,1.93%,1.80%
07/02/2020 19:00,JPY,Leading Indicators,91.4%,91.6%,90.8%
07/02/2020 09:00,EUR,German Industrial Production m/m,-0.2%,-3.5%,1.2%
07/02/2020 09:00,EUR,German Trade Balance,16.4B,19.2B,18.5B
07/02/2020 09:45,EUR,French Industrial Production m/m,-0.3%,-2.8%,0.0%
07/02/2020 09:45,EUR,French Prelim Private Payrolls q/q,0.2%,0.2%,0.2%
07/02/2020 09:45,EUR,French Trade Balance,-5.1B,-4.1B,-5.4B
07/02/2020 10:00,CHF,Foreign Currency Reserves,unknown,764B,772B
07/02/2020 10:30,GBP,Halifax HPI m/m,0.6%,0.4%,1.8%
07/02/2020 11:00,EUR,Italian Retail Sales m/m,0.2%,0.5%,-0.2%
07/02/2020 15:30,CAD,Employment Change,16.3K,34.5K,35.2K
07/02/2020 15:30,CAD,Unemployment Rate,5.7%,5.5%,5.6%
07/02/2020 15:30,USD,Average Hourly Earnings m/m,0.3%,0.2%,0.1%
07/02/2020 15:30,USD,Non-Farm Employment Change,163K,225K,147K
07/02/2020 15:30,USD,Unemployment Rate,3.5%,3.6%,3.5%
07/02/2020 17:00,CAD,Ivey PMI,52.3,57.3,51.9
07/02/2020 17:00,USD,Final Wholesale Inventories m/m,-0.1%,-0.2%,-0.1%
07/02/2020 18:00,USD,Fed Monetary Policy Report,unknown,unknown,unknown
07/02/2020 22:00,USD,Consumer Credit m/m,15.2B,22.1B,11.8B
10/02/2020 01:50,JPY,Bank Lending y/y,1.7%,1.9%,1.8%
10/02/2020 01:50,JPY,Current Account,1.68T,1.71T,1.79T
10/02/2020 03:30,CNY,CPI y/y,4.9%,5.4%,4.5%
10/02/2020 03:30,CNY,PPI y/y,0.1%,0.1%,-0.5%
10/02/2020 19:02,JPY,Economy Watchers Sentiment,39.2,41.9,39.8
10/02/2020 08:45,CHF,Unemployment Rate,2.3%,2.3%,2.3%
10/02/2020 09:30,CHF,CPI m/m,-0.2%,-0.2%,0.0%
10/02/2020 11:00,EUR,Italian Industrial Production m/m,1.5%,-2.7%,0.0%
10/02/2020 11:30,EUR,Sentix Investor Confidence,6.1,5.2,7.6
10/02/2020 15:12,CAD,Housing Starts,200K,213K,196K
10/02/2020 15:15,USD,FOMC Member Bowman Speaks,unknown,unknown,unknown
10/02/2020 15:30,CAD,Building Permits m/m,3.5%,7.4%,-3.5%
10/02/2020 22:15,USD,FOMC Member Harker Speaks,unknown,unknown,unknown
10/02/2020 00:00,JPY,Bank Holiday,unknown,unknown,unknown
11/02/2020 02:01,GBP,BRC Retail Sales Monitor y/y,0.6%,0.0%,1.7%
11/02/2020 02:30,AUD,NAB Business Confidence,unknown,-1,-2
11/02/2020 11:30,GBP,Prelim GDP q/q,0.0%,0.0%,0.4%
11/02/2020 11:30,GBP,GDP m/m,0.2%,0.3%,-0.3%
11/02/2020 11:30,GBP,Manufacturing Production m/m,0.5%,0.3%,-1.6%
11/02/2020 11:30,GBP,Construction Output m/m,-0.4%,0.4%,2.4%
11/02/2020 11:30,GBP,Goods Trade Balance,-10.0B,0.8B,-4.9B
11/02/2020 11:30,GBP,Index of Services 3m/3m,0.0%,0.1%,0.1%
11/02/2020 11:30,GBP,Industrial Production m/m,0.3%,0.1%,-1.1%
11/02/2020 11:30,GBP,Prelim Business Investment q/q,-0.5%,-1.0%,0.0%
11/02/2020 12:56,USD,NFIB Small Business Index,103.6,104.3,102.7
11/02/2020 16:00,EUR,ECB President Lagarde Speaks,unknown,unknown,unknown
11/02/2020 17:00,USD,Fed Chair Powell Testifies,unknown,unknown,unknown
11/02/2020 17:00,USD,JOLTS Job Openings,6.93M,6.42M,6.79M
11/02/2020 17:00,USD,Mortgage Delinquencies,unknown,3.77%,3.97%
11/02/2020 17:35,GBP,BOE Gov Carney Speaks,unknown,unknown,unknown
11/02/2020 07:00,GBP,MPC Member Haskel Speaks,unknown,unknown,unknown
11/02/2020 07:15,USD,FOMC Member Quarles Speaks,unknown,unknown,unknown
11/02/2020 07:37,GBP,NIESR GDP Estimate,unknown,0.0%,0.0%
11/02/2020 21:15,USD,FOMC Member Kashkari Speaks,unknown,unknown,unknown
12/02/2020 01:30,AUD,Westpac Consumer Sentiment,unknown,2.3%,-1.8%
12/02/2020 01:50,JPY,M2 Money Stock y/y,2.8%,2.8%,2.7%
12/02/2020 03:00,NZD,Official Cash Rate,1.00%,1.00%,1.00%
12/02/2020 03:00,NZD,RBNZ Monetary Policy Statement,unknown,unknown,unknown
12/02/2020 03:00,NZD,RBNZ Rate Statement,unknown,unknown,unknown
12/02/2020 04:00,NZD,RBNZ Press Conference,unknown,unknown,unknown
12/02/2020 19:59,JPY,Prelim Machine Tool Orders y/y,unknown,-35.6%,-33.5%
12/02/2020 12:00,EUR,Industrial Production m/m,-1.8%,-2.1%,0.0%
12/02/2020 12:33,EUR,German 10-y Bond Auction,unknown,-0.38|1.2,-0.25|1.2
12/02/2020 15:30,USD,FOMC Member Harker Speaks,unknown,unknown,unknown
12/02/2020 16:30,GBP,CB Leading Index m/m,unknown,0.0%,-0.2%
12/02/2020 16:30,USD,Fed Chair Powell Testifies,unknown,unknown,unknown
12/02/2020 17:30,USD,Crude Oil Inventories,3.1M,7.5M,3.4M
12/02/2020 20:01,USD,10-y Bond Auction,unknown,1.62|2.6,1.87|2.4
12/02/2020 21:00,USD,Federal Budget Balance,-10.7B,-32.6B,-13.3B
12/02/2020 21:10,NZD,RBNZ Gov Orr Speaks,unknown,unknown,unknown
13/02/2020 01:50,JPY,PPI y/y,1.5%,1.7%,0.9%
13/02/2020 02:00,AUD,RBA Gov Lowe Speaks,unknown,unknown,unknown
13/02/2020 02:00,AUD,MI Inflation Expectations,unknown,4.0%,4.7%
13/02/2020 02:00,CAD,BOC Gov Poloz Speaks,unknown,unknown,unknown
13/02/2020 02:01,GBP,RICS House Price Balance,3%,17%,0%
13/02/2020 09:00,EUR,German Final CPI m/m,-0.6%,-0.6%,-0.6%
13/02/2020 12:00,EUR,EU Economic Forecasts,unknown,unknown,unknown
13/02/2020 15:30,USD,Core CPI m/m,0.2%,0.2%,0.1%
13/02/2020 15:30,USD,CPI m/m,0.2%,0.1%,0.2%
13/02/2020 15:30,USD,CPI y/y,2.4%,2.5%,2.3%
13/02/2020 15:30,USD,Unemployment Claims,210K,205K,203K
13/02/2020 17:30,USD,Natural Gas Storage,-106B,-115B,-137B
13/02/2020 20:01,USD,30-y Bond Auction,unknown,2.06|2.4,2.34|2.5
13/02/2020 23:30,NZD,BusinessNZ Manufacturing Index,unknown,49.6,49.2
13/02/2020 23:45,NZD,FPI m/m,unknown,2.1%,-0.2%
14/02/2020 00:30,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
14/02/2020 06:30,JPY,Tertiary Industry Activity m/m,0.1%,-0.2%,1.4%
14/02/2020 09:00,EUR,German Prelim GDP q/q,0.1%,0.0%,0.1%
14/02/2020 09:00,EUR,German WPI m/m,0.1%,1.0%,0.0%
14/02/2020 09:30,CHF,PPI m/m,0.2%,0.0%,0.1%
14/02/2020 11:00,EUR,Italian Trade Balance,5.23B,5.01B,4.89B
14/02/2020 12:00,EUR,Flash Employment Change q/q,0.1%,0.3%,0.1%
14/02/2020 12:00,EUR,Flash GDP q/q,0.1%,0.1%,0.1%
14/02/2020 12:00,EUR,Trade Balance,19.1B,22.2B,19.1B
14/02/2020 15:30,USD,Core Retail Sales m/m,0.3%,0.3%,0.6%
14/02/2020 15:30,USD,Retail Sales m/m,0.3%,0.3%,0.2%
14/02/2020 15:30,USD,Import Prices m/m,-0.2%,0.0%,0.2%
14/02/2020 16:15,USD,Capacity Utilization Rate,76.9%,76.8%,77.1%
14/02/2020 16:15,USD,Industrial Production m/m,-0.2%,-0.3%,-0.4%
14/02/2020 17:00,USD,Prelim UoM Consumer Sentiment,99.5,100.9,99.8
14/02/2020 17:00,USD,Business Inventories m/m,0.1%,0.1%,-0.2%
14/02/2020 17:00,USD,Prelim UoM Inflation Expectations,unknown,2.5%,2.5%
14/02/2020 18:45,USD,FOMC Member Mester Speaks,unknown,unknown,unknown
16/02/2020 23:30,NZD,BusinessNZ Services Index,unknown,57.1,52.1
16/02/2020 23:45,NZD,Visitor Arrivals m/m,unknown,1.0%,-0.9%
17/02/2020 01:50,JPY,Prelim GDP Price Index y/y,1.1%,1.3%,0.6%
17/02/2020 01:50,JPY,Prelim GDP q/q,-1.0%,-1.6%,0.4%
17/02/2020 02:01,GBP,Rightmove HPI m/m,unknown,0.8%,2.3%
17/02/2020 03:30,CNY,New Home Prices m/m,unknown,0.27%,0.35%
17/02/2020 03:30,CNY,Foreign Direct Investment ytd/y,unknown,5.8%,6.0%
17/02/2020 04:14,CNY,Foreign Direct Investment ytd/y,unknown,4.0%,5.8%
17/02/2020 06:30,JPY,Revised Industrial Production m/m,1.3%,1.2%,1.3%
17/02/2020 00:00,EUR,Eurogroup Meetings,unknown,unknown,unknown
17/02/2020 13:00,EUR,German Buba Monthly Report,unknown,unknown,unknown
17/02/2020 00:00,CAD,Bank Holiday,unknown,unknown,unknown
17/02/2020 00:00,USD,Bank Holiday,unknown,unknown,unknown
17/02/2020 15:30,CAD,Foreign Securities Purchases,4.82B,-9.57B,-1.77B
18/02/2020 02:30,AUD,Monetary Policy Meeting Minutes,unknown,unknown,unknown
18/02/2020 11:30,GBP,Average Earnings Index 3m/y,3.1%,2.9%,3.2%
18/02/2020 11:30,GBP,Claimant Count Change,20.2K,5.5K,2.6K
18/02/2020 11:30,GBP,Unemployment Rate,3.8%,3.8%,3.8%
18/02/2020 12:00,EUR,German ZEW Economic Sentiment,20.0,8.7,26.7
18/02/2020 12:00,EUR,ZEW Economic Sentiment,21.3,10.4,25.6
18/02/2020 00:00,EUR,ECOFIN Meetings,unknown,unknown,unknown
18/02/2020 15:30,CAD,Manufacturing Sales m/m,0.8%,-0.7%,-1.0%
18/02/2020 15:30,USD,Empire State Manufacturing Index,5.1,12.9,4.8
18/02/2020 16:54,NZD,GDT Price Index,unknown,-2.9%,-4.7%
18/02/2020 17:00,USD,NAHB Housing Market Index,75,74,75
18/02/2020 17:30,AUD,CB Leading Index m/m,unknown,0.0%,-0.3%
18/02/2020 21:00,USD,FOMC Member Kashkari Speaks,unknown,unknown,unknown
18/02/2020 23:00,USD,TIC Long-Term Purchases,31.4B,85.6B,27.1B
19/02/2020 01:30,AUD,MI Leading Index m/m,unknown,0.1%,0.0%
19/02/2020 01:50,JPY,Core Machinery Orders m/m,-9.0%,-12.5%,18.0%
19/02/2020 01:50,JPY,Trade Balance,-0.55T,-0.22T,-0.11T
19/02/2020 02:30,AUD,Wage Price Index q/q,0.5%,0.5%,0.5%
19/02/2020 11:00,EUR,Current Account,34.5B,32.6B,32.4B
19/02/2020 11:30,GBP,CPI y/y,1.6%,1.8%,1.3%
19/02/2020 11:30,GBP,PPI Input m/m,-0.5%,0.9%,0.9%
19/02/2020 11:30,GBP,Core CPI y/y,1.5%,1.6%,1.4%
19/02/2020 11:30,GBP,HPI y/y,2.3%,2.2%,1.7%
19/02/2020 11:30,GBP,PPI Output m/m,0.1%,0.3%,0.0%
19/02/2020 11:30,GBP,RPI y/y,2.5%,2.7%,2.2%
19/02/2020 12:35,EUR,German 30-y Bond Auction,unknown,0.07|1.1,0.31|1.1
19/02/2020 15:30,CAD,CPI m/m,0.2%,0.3%,0.0%
